molecule_chembl_id,canonical_smiles,bioavtivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1835211,CO[C@H]1CCN(C(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(C)C)[C@@H]1C(=O)N[C@H]1CC(=O)OC1O,active,599.6380000000003,-2.3865999999999903,6.0,10.0,6.966576244513051
CHEMBL1835212,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CC[C@H](OC(C)C)[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,627.6920000000003,-1.6079999999999899,6.0,10.0,6.609064892896621
CHEMBL1835313,CCC(C)O[C@H]1CCN(C(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(C)C)[C@@H]1C(=O)N[C@H]1CC(=O)OC1O,active,641.7190000000003,-1.2178999999999907,6.0,10.0,6.384049948343599
CHEMBL1835314,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CC[C@H](OCC(C)C)[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,641.7190000000003,-1.36039999999999,6.0,10.0,6.343901797987168
CHEMBL1835315,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CC[C@H](OC2CCCC2)[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,653.7300000000004,-1.0737999999999905,6.0,10.0,6.112382699664264
CHEMBL1835316,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CC[C@H](Oc2ncccn2)[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,663.6850000000003,-2.16399999999999,6.0,12.0,6.6595558851598815
CHEMBL1835317,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CC[C@H](CC(C)(C)C)[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,639.7470000000003,-0.3491999999999922,6.0,9.0,7.301029995663981
CHEMBL1835318,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CC[C@H](c2ccccc2)[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,645.7100000000003,-0.6177999999999919,6.0,9.0,6.355561410532162
CHEMBL1835320,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CC[C@H](C2CCCCC2)[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,651.7580000000004,-0.2050999999999925,6.0,9.0,6.866461091629782
CHEMBL1835321,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1Cc2ccccc2C1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,617.6560000000003,-0.9189999999999918,6.0,9.0,6.823908740944319
CHEMBL1835322,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,583.6390000000002,-1.6213999999999915,6.0,9.0,7.0655015487564325
CHEMBL1835323,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@H](OC(C)C)[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,inactive,641.7190000000003,-1.2178999999999902,6.0,10.0,4.277366077466188
CHEMBL1835324,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCc2ccccc2[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,631.6830000000002,-0.8764999999999916,6.0,9.0,7.657577319177793
CHEMBL1835325,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCc2ccc(C)cc2C1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,645.7100000000003,-0.5680799999999913,6.0,9.0,7.221848749616356
CHEMBL1835399,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCc2cc(C)ccc2C1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,645.7100000000003,-0.5680799999999913,6.0,9.0,7.301029995663981
CHEMBL1835402,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCc2ccc(O)cc2C1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,647.6820000000002,-1.1708999999999914,7.0,10.0,6.338187314462739
CHEMBL1835403,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCc2cc(Br)ccc2C1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,710.5790000000002,-0.11399999999999277,6.0,9.0,6.787812395596042
CHEMBL1835404,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCc2ccc(Br)cc2C1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,710.5790000000002,-0.11399999999999277,6.0,9.0,6.24184537803261
CHEMBL1835210,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,active,569.6120000000003,-2.011499999999991,6.0,9.0,6.197226274708024
